date,day,user_id,action,reward,penalty,observed,sleep,activity,diet,habit,water
2023-01-01,1,0,sleep_early,5.304420386893883,13.0,-9.576452298894523,1,0,0,0,0
2023-01-01,1,1,sleep_early,5.872435807571701,13.0,-8.484263875290607,1,0,0,0,0
2023-01-01,1,2,walk_30,3.3422182811147736,17.0,-15.271835053202947,0,0,0,0,0
2023-01-01,1,3,eat_veg_400,3.316155039421167,17.0,-14.101962864561802,0,0,0,0,0
2023-01-01,1,4,no_tobacco_alcohol,2.5184038428622886,17.0,-15.426952385338486,0,0,0,0,0
2023-01-01,1,5,meditate_10,3.3683080694434686,17.0,-13.43976274664946,0,0,0,0,0
2023-01-01,1,6,drink_water_8,3.2113872448057093,17.0,-12.099632332379214,0,0,0,0,0
2023-01-01,1,7,sleep_early,3.3459384462600807,17.0,-12.583408602238778,0,0,0,0,0
2023-01-01,1,8,meditate_10,3.293149781064929,17.0,-10.233602659990385,0,0,0,0,0
2023-01-01,1,9,walk_30,3.2794312102639998,17.0,-13.5267930199662,0,0,0,0,0
2023-01-01,1,10,eat_veg_400,5.262518458294023,14.0,-9.845272880382389,0,0,1,0,0
2023-01-01,1,11,sleep_early,3.194441474463955,17.0,-12.591703251746896,0,0,0,0,0
2023-01-01,1,12,drink_water_8,3.2382336078611473,17.0,-17.119069837413086,0,0,0,0,0
2023-01-01,1,13,no_tobacco_alcohol,6.242889263738725,12.0,-5.474841095091176,0,0,0,1,0
2023-01-01,1,14,no_tobacco_alcohol,6.309187839943494,12.0,-6.097184111907905,0,0,0,1,0
2023-01-01,1,15,no_tobacco_alcohol,2.524926984146172,17.0,-13.876884010773255,0,0,0,0,0
2023-01-01,1,16,eat_veg_400,3.3165080088968573,17.0,-13.821187762886144,0,0,0,0,0
2023-01-01,1,17,meditate_10,3.4611447508497046,17.0,-10.023922518567094,0,0,0,0,0
2023-01-01,1,18,walk_30,3.189135199796139,17.0,-13.638827940289673,0,0,0,0,0
2023-01-01,1,19,drink_water_8,4.25,15.5,-13.00608028440739,0,0,0,0,1
2023-01-01,1,20,no_tobacco_alcohol,2.43834200666002,17.0,-15.617134712652376,0,0,0,0,0
2023-01-01,1,21,eat_veg_400,3.2569326314877247,17.0,-9.636294823577646,0,0,0,0,0
2023-01-01,1,22,sleep_early,2.7948373675201976,17.0,-11.847636342607096,0,0,0,0,0
2023-01-01,1,23,drink_water_8,3.25,17.0,-15.290047857207991,0,0,0,0,0
2023-01-01,1,24,meditate_10,3.259565801783354,17.0,-10.87822928212125,0,0,0,0,0
2023-01-02,2,0,drink_water_8,5.688245643444883,13.0,-7.29205394501934,1,0,0,0,0
2023-01-02,2,1,sleep_early,5.886211399618376,13.0,-7.009625190423478,1,0,0,0,0
2023-01-02,2,2,walk_30,5.420614928179322,13.5,-9.485786743315664,0,1,0,0,0
2023-01-02,2,3,no_tobacco_alcohol,3.199453258948943,17.0,-14.434075445723348,0,0,0,0,0
2023-01-02,2,4,walk_30,5.298403679831317,13.5,-7.106227172313967,0,1,0,0,0
2023-01-02,2,5,walk_30,3.303091486437594,17.0,-16.22442706162097,0,0,0,0,0
2023-01-02,2,6,eat_veg_400,3.321160830411414,17.0,-14.370540621139426,0,0,0,0,0
2023-01-02,2,7,sleep_early,3.4138496682860904,17.0,-11.225487451563328,0,0,0,0,0
2023-01-02,2,8,drink_water_8,3.406139134657154,17.0,-11.921143221854308,0,0,0,0,0
2023-01-02,2,9,sleep_early,3.2507474888179644,17.0,-16.394485273273272,0,0,0,0,0
2023-01-02,2,10,meditate_10,3.120036139274611,17.0,-12.458836985473797,0,0,0,0,0
2023-01-02,2,11,walk_30,5.174596273440887,13.5,-8.134040359459147,0,1,0,0,0
2023-01-02,2,12,no_tobacco_alcohol,2.31302968032911,17.0,-12.12573180774589,0,0,0,0,0
2023-01-02,2,13,sleep_early,8.892361728642527,8.0,0.6928028807017714,1,0,0,1,0
2023-01-02,2,14,sleep_early,8.940362270445199,8.0,1.0320053575238104,1,0,0,1,0
2023-01-02,2,15,eat_veg_400,3.2441385954703574,17.0,-10.461663787213308,0,0,0,0,0
2023-01-02,2,16,drink_water_8,3.3164633179749368,17.0,-13.297486177264853,0,0,0,0,0
2023-01-02,2,17,meditate_10,3.5753996539798933,17.0,-10.109711753929501,0,0,0,0,0
2023-01-02,2,18,walk_30,3.1912758166162667,17.0,-8.98110889535473,0,0,0,0,0
2023-01-02,2,19,sleep_early,5.688214382863424,13.0,-9.190338662061842,1,0,0,0,0
2023-01-02,2,20,sleep_early,3.146424339826213,17.0,-13.051140098170395,0,0,0,0,0
2023-01-02,2,21,walk_30,3.1729614138116515,17.0,-13.168173050500288,0,0,0,0,0
2023-01-02,2,22,no_tobacco_alcohol,6.360021264625145,12.0,-4.387495477871426,0,0,0,1,0
2023-01-02,2,23,no_tobacco_alcohol,5.480967526483064,12.0,-6.217855610798711,0,0,0,1,0
2023-01-02,2,24,meditate_10,3.376378584942567,17.0,-14.590121590498144,0,0,0,0,0
2023-01-03,3,0,walk_30,7.6214930164209385,9.5,-2.17401950345059,1,1,0,0,0
2023-01-03,3,1,eat_veg_400,5.93342206660421,13.0,-6.728350910865218,1,0,0,0,0
2023-01-03,3,2,no_tobacco_alcohol,5.729570199427176,12.0,-7.495065623085182,0,0,0,1,0
2023-01-03,3,3,drink_water_8,3.077005636008609,17.0,-15.589258375666642,0,0,0,0,0
2023-01-03,3,4,sleep_early,5.3121998260623355,13.5,-7.9165644773356005,0,1,0,0,0
2023-01-03,3,5,no_tobacco_alcohol,6.37489412439912,12.0,-5.823510779756793,0,0,0,1,0
2023-01-03,3,6,sleep_early,3.2620811400546477,17.0,-15.83910449828749,0,0,0,0,0
2023-01-03,3,7,no_tobacco_alcohol,5.579576589825503,12.0,-8.129377180824314,0,0,0,1,0
2023-01-03,3,8,no_tobacco_alcohol,6.254969164056961,12.0,-6.6582993935772485,0,0,0,1,0
2023-01-03,3,9,no_tobacco_alcohol,3.148945531495894,17.0,-15.528345152750036,0,0,0,0,0
2023-01-03,3,10,eat_veg_400,3.142954661762049,17.0,-10.964796428904034,0,0,0,0,0
2023-01-03,3,11,walk_30,5.074674833911942,13.5,-7.356799997010022,0,1,0,0,0
2023-01-03,3,12,walk_30,5.199635437899008,13.5,-9.547045693358765,0,1,0,0,0
2023-01-03,3,13,sleep_early,8.876408109499772,8.0,0.9343813078413661,1,0,0,1,0
2023-01-03,3,14,sleep_early,9.01332726556694,8.0,1.0114205345887382,1,0,0,1,0
