date,day,user_id,action,reward,penalty,observed,sleep_hours,activity_min,diet_fv_g,abstain,stress_level,water_glasses,screen_time_hours,social_minutes,mindfulness_min,sleep,activity,diet,habit,water,mental_health,screen,social
2023-01-01,1,0,sleep_early,3.2081229308204855,22.5,-22.142606390051963,6.5644534188029535,3,88,0,5.590976351384681,2,3.177092022344287,0,0,0,0,0,0,0,0,0,0
2023-01-01,1,1,walk_30,5.275538606800024,19.0,-13.600911821764315,5.738242519142384,18,79,0,4.479568547357137,2,4.299533269788502,3,0,0,0,0,0,0,1,0,0
2023-01-01,1,2,eat_veg_400,3.184305159509175,22.5,-22.645467637234223,6.7473681726672705,2,80,0,5.373762539232987,3,4.561853972101505,15,0,0,0,0,0,0,0,0,0
2023-01-01,1,3,no_tobacco_alcohol,3.2132500639566643,22.5,-17.821575071076268,7.053429901127318,0,0,0,5.800121258638686,2,2.999257917277423,0,0,0,0,0,0,0,0,0,0
2023-01-01,1,4,meditate_10,6.1477542426426925,18.0,-13.46894158270328,6.79631890305593,1,53,0,4.774512846185551,1,5.332912392611711,10,0,0,0,0,0,0,1,0,1
2023-01-01,1,5,drink_water_8,6.25,17.5,-11.622478978960078,6.647702732001887,3,93,0,5.069891760611643,7,2.906044251523917,1,0,0,0,0,0,1,1,0,0
2023-01-01,1,6,eat_veg_400,6.043326938032595,18.5,-13.16997539980395,5.67099028654147,0,395,0,5.365635198112776,2,3.424377431499833,25,0,0,0,1,0,0,0,0,1
2023-01-01,1,7,digital_detox_30,5.276033455079665,19.0,-14.43504226316351,5.8866655371571355,0,47,0,5.626985375861397,3,4.930155768681548,8,0,0,0,0,0,0,1,0,0
2023-01-01,1,8,social_15,4.045808304195489,21.5,-15.983420123228443,6.339472234758751,4,126,0,4.54082743363926,2,3.5658970687696705,18,0,0,0,0,0,0,0,0,1
2023-01-01,1,9,drink_water_8,5.369573708237154,19.0,-14.676672450502533,6.17856363344154,4,122,0,5.078574711167239,2,5.335352669990134,3,0,0,0,0,0,0,1,0,0
2023-01-01,1,10,meditate_10,6.283473537328556,18.0,-15.017165654901698,6.492467889465367,0,107,0,3.595132707097689,2,3.6564381095295246,22,0,0,0,0,0,0,1,0,1
2023-01-01,1,11,digital_detox_30,3.2181560188574694,22.5,-21.344217705852085,6.80465123618559,0,56,0,5.500112842402662,2,2.4147896341647908,13,0,0,0,0,0,0,0,0,0
2023-01-01,1,12,walk_30,7.889314439626061,14.5,-5.614339317956825,6.690498322412814,34,93,0,3.6633823515932895,2,1.9588033975384642,2,0,0,1,0,0,0,1,1,0
2023-01-01,1,13,walk_30,5.275418693024129,19.0,-9.991890061522597,5.610840832652931,0,33,0,4.824156167772892,3,4.130540237117851,4,0,0,0,0,0,0,1,0,0
2023-01-01,1,14,social_15,5.348653660333986,19.0,-15.071492061308783,6.179407205996618,0,95,0,4.08110926134292,2,3.382591879161118,0,0,0,0,0,0,0,1,0,0
2023-01-01,1,15,no_tobacco_alcohol,6.215100831620738,17.5,-12.699967468354354,6.429120801089078,0,98,1,5.08455779565555,2,2.8234471231807206,0,0,0,0,0,1,0,0,0,0
2023-01-01,1,16,sleep_early,2.723435106517312,22.5,-19.478590353092667,6.624083994173729,1,95,0,5.563316080260246,2,4.558953780433152,0,0,0,0,0,0,0,0,0,0
2023-01-01,1,17,meditate_10,6.107804943036036,18.0,-9.933689727038153,6.649873785891351,0,53,0,5.318986270691112,2,4.573106709710286,23,0,0,0,0,0,0,1,0,1
2023-01-01,1,18,drink_water_8,3.19808487799212,22.5,-13.182608869354377,5.689350745016055,3,14,0,5.4740500012187185,2,2.2366142305437897,0,0,0,0,0,0,0,0,0,0
2023-01-01,1,19,no_tobacco_alcohol,5.337917009964853,18.0,-11.410948925335166,6.1438972927407205,1,97,0,5.263551789370907,2,4.510349724373406,13,0,0,0,0,0,0,1,0,1
2023-01-01,1,20,eat_veg_400,5.206961397885611,19.5,-17.028934649511314,6.84237837919589,0,319,0,4.72306350295852,2,4.5165510608309996,18,0,0,0,1,0,0,0,0,0
2023-01-01,1,21,walk_30,7.302193773449227,15.5,-8.54506347849046,6.361560158825885,37,45,0,5.310164481633994,1,3.8450170270383657,6,0,0,1,0,0,0,1,0,0
2023-01-01,1,22,walk_30,4.02947515133963,21.5,-15.312038402808648,6.493935420312498,3,106,0,5.506458341128549,2,2.945195757299496,24,0,0,0,0,0,0,0,0,1
2023-01-01,1,23,social_15,4.031643734312417,21.5,-13.13881735927551,6.658872495552009,5,20,0,6.0752797930604014,1,3.3576917891297398,41,0,0,0,0,0,0,0,0,1
2023-01-01,1,24,digital_detox_30,3.9771519901006025,21.5,-16.163415864503385,5.798265074255975,0,122,0,5.510825829720216,3,4.453622892859434,22,0,0,0,0,0,0,0,0,1
2023-01-02,2,0,meditate_10,3.230751680628978,22.5,-21.616529270770627,5.46179375583422,0,0,0,5.368971968579248,0,4.029287358624724,5,0,0,0,0,0,0,0,0,0
2023-01-02,2,1,no_tobacco_alcohol,4.525129508067085,19.0,-12.654038797888605,5.537090508827415,8,0,0,5.0737894291647345,0,4.8156838077129125,11,0,0,0,0,0,0,1,0,0
2023-01-02,2,2,social_15,3.10135881054521,22.5,-19.125395428723895,6.708023418940597,0,0,0,6.561526223635535,0,5.6259637522056405,16,0,0,0,0,0,0,0,0,0
2023-01-02,2,3,sleep_early,5.741616014707654,18.5,-15.956682267254507,7.544300745706998,0,0,0,4.963955249134945,0,2.646897921163606,2,0,1,0,0,0,0,0,0,0
2023-01-02,2,4,sleep_early,5.273897983456554,19.0,-14.931938248985094,6.999688530816537,0,51,0,4.775886157353427,0,5.460966645945402,5,0,0,0,0,0,0,1,0,0
2023-01-02,2,5,eat_veg_400,5.27442083109885,19.0,-11.46087477463811,7.792048626480618,0,222,0,5.148439510471969,7,3.6608518410983013,0,0,0,0,0,0,0,1,0,0
2023-01-02,2,6,eat_veg_400,4.029560324985246,21.5,-11.59463695288379,5.193173312944579,0,320,0,5.6884240251239,0,3.9122747255390204,26,0,0,0,0,0,0,0,0,1
2023-01-02,2,7,drink_water_8,3.1559521936207906,22.5,-20.111342762664886,5.698262544862884,0,27,0,6.114101025022772,3,5.240891618326753,3,0,0,0,0,0,0,0,0,0
2023-01-02,2,8,walk_30,3.187412922527959,22.5,-19.775141595169146,6.469639479958039,0,128,0,6.1102369598459,0,3.661567891283572,12,0,0,0,0,0,0,0,0,0
2023-01-02,2,9,digital_detox_30,3.2158152415798646,22.5,-17.00050894607425,5.611602192375177,0,40,0,6.339766154690227,0,5.3665464521188975,16,0,0,0,0,0,0,0,0,0
