date,day,user_id,action,reward,penalty,observed,sleep_hours,activity_min,diet_fv_g,abstain,stress_level,water_glasses,screen_time_hours,social_minutes,mindfulness_min,eco_anxiety,air_quality_index,noise_db,light_pollution_lux,heatwave,flood,sleep,activity,diet,habit,water,mental_health,screen,social,eco_safe,air_quality,noise,light,heatwave_safe,flood_safe
2023-01-01,1,0,sleep_early,9.932907305207568,18.9,-9.61609051610853,7.4850692936600165,1,42,0,3.953728437589772,2,3.435580346253705,7,0,4.0125677417135766,74,67.41603005300841,5.872211083484081,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
2023-01-01,1,1,walk_30,8.094543068323084,21.9,-12.99224211731391,6.338841539790577,23,68,0,4.651361545557545,2,4.31051688223318,16,0,3.207678159683711,53,57.80560826776296,6.5778075306867985,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
2023-01-01,1,2,eat_veg_400,6.34319989797801,25.4,-20.129977205602287,6.518887299000466,5,40,0,6.00482700547688,2,3.526575228624865,17,0,4.644744250213648,62,55.68302721646296,10.784478822383521,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
2023-01-01,1,3,no_tobacco_alcohol,10.722116487919907,16.7,-3.415682327212248,6.808120866794956,5,95,1,5.29607274759725,4,3.807454111024188,0,0,4.600025724265857,58,51.89153751174882,9.582418241081538,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
2023-01-01,1,4,meditate_10,9.591320593980694,18.0,-9.907730924123328,6.293145791172314,0,78,0,5.2443578646241615,2,3.952034379423835,6,0,2.0186074231866162,41,53.21400241332034,3.3118831582922557,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
2023-01-01,1,5,drink_water_8,7.319334968675359,22.9,-17.081882932608742,6.858626918145437,0,44,0,4.795519609235639,2,4.653836537800524,21,0,2.7331579584437,80,67.8166774146766,8.879987913201946,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
2023-01-01,1,6,digital_detox_30,7.306749343235114,22.9,-14.734112437372973,6.719775218798074,0,58,0,4.870355203859647,2,4.700035493836689,10,0,4.110756757296586,78,62.168098652577314,8.660473060675582,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
2023-01-01,1,7,social_15,6.510019612246246,24.5,-17.83175654409167,6.624283883731717,1,0,0,5.744433948178561,3,3.564479239036295,30,0,4.722960199506134,35,57.1330688705249,4.099732599107172,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
2023-01-01,1,8,no_tobacco_alcohol,7.459214165991821,21.5,-12.857728991618982,6.160895918373359,0,77,0,5.2705953875926905,0,4.24363684033931,27,0,4.536009159924455,48,52.98961719960434,4.380889452203505,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2023-01-01,1,9,meditate_10,8.434214144097702,20.2,-10.744324612618819,6.864114033314431,0,4,0,3.497585783620708,2,2.9455375822147554,0,0,2.2670358953692102,49,48.723963455632294,5.4638862385580005,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
2023-01-01,1,10,sleep_early,7.96835806787756,21.4,-12.650009773244015,6.911191046503191,1,91,0,4.329021419852768,2,5.014445480458908,9,0,4.408792212433914,36,57.11995529546189,6.108277198714791,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
2023-01-01,1,11,eat_veg_400,4.295927981357341,28.9,-22.262383479282896,6.125191102692302,0,108,0,6.458832433841387,2,3.0198715479677674,11,0,6.637829467714064,55,64.79294164934412,8.181459454458192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023-01-01,1,12,walk_30,9.303346366634111,19.4,-12.513866659632303,6.200146429531473,35,128,0,5.445579855196175,1,4.007183011043651,0,0,3.6918223888648587,53,65.75928185038958,7.356969594480073,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
2023-01-01,1,13,drink_water_8,7.3,22.9,-14.181518737617747,6.682796782505525,3,57,0,6.8222590737974915,4,3.834334667868425,0,0,5.4093054355781085,65,65.40586337556212,6.374869875857291,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
2023-01-01,1,14,digital_detox_30,5.746185606170798,25.5,-19.50727552464202,6.684332782953412,0,123,0,5.106315283624953,2,3.3923995078130087,2,0,4.050806824543009,50,50.158897823863455,9.22549460546893,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
2023-01-01,1,15,social_15,8.71831624219396,20.4,-8.092820130162265,6.540821400477363,0,8,0,4.750750887899182,1,4.921118743652812,30,0,3.088450353116513,38,56.601400532591555,11.084443919212433,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1
2023-01-01,1,16,no_tobacco_alcohol,10.791799662860289,16.7,-5.4505020009846845,5.840964549654004,0,95,1,4.7093100493880575,2,2.050434173170128,17,0,4.491230178736332,57,73.00787048151346,3.7855105941736555,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1
2023-01-01,1,17,meditate_10,7.4487872227484075,22.9,-12.21266808464839,6.391378245820935,0,84,0,4.182093284140693,2,2.7058005959381664,16,0,1.4895959530688163,59,60.71875280024921,8.273024567075778,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
2023-01-01,1,18,walk_30,7.688793730577081,21.7,-12.759565843888241,5.510477077359194,35,127,0,4.960470355568766,1,4.0106455942803985,3,0,4.322102301910388,77,50.88179029397874,6.922165789392558,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
2023-01-01,1,19,no_tobacco_alcohol,8.272113921743424,21.4,-8.731373688251775,6.142584771655361,3,66,1,4.66254721443365,2,2.103576382401743,0,0,2.5714115880052355,63,57.52207862699865,9.253520326525132,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
2023-01-01,1,20,sleep_early,9.885585058734183,18.9,-7.790448573013044,7.270568255741649,1,78,0,4.194156923703845,2,2.8929998612830676,5,0,4.173960738269489,81,62.90841532866146,7.244988354506574,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
2023-01-01,1,21,sleep_early,11.02459026280553,16.7,-5.749961362034082,7.76170224793953,1,95,0,4.598177004084913,2,3.273090289530665,19,0,2.054125368918349,53,48.43901194405164,7.37166247061793,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1
2023-01-01,1,22,sleep_early,8.179820882490947,21.2,-16.500870724166393,7.409680043608643,0,37,0,5.3475932132193424,3,4.222837314162482,10,0,2.515925809425612,72,54.92162921859331,7.14321780040559,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1
2023-01-01,1,23,no_tobacco_alcohol,10.747265801361142,16.7,-6.36461657380355,6.2401251480891835,1,118,1,4.938098194533135,2,3.8450254523426945,7,0,0.2261448922677448,68,52.52764377605324,13.048565630897322,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
2023-01-01,1,24,digital_detox_30,6.0835583260228425,25.4,-16.956077655104004,6.124359992416577,1,85,0,4.9414323996770655,2,2.947711060474628,24,0,2.8279959615759824,64,62.131672338889956,8.261979864838889,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
2023-01-02,2,0,sleep_early,10.399682980413381,17.7,-6.117853464318813,7.251762097106429,0,0,0,3.1813278966900467,0,3.606452295264955,0,0,4.604968983244807,81,70.72862847982739,4.942329063630348,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1
2023-01-02,2,1,no_tobacco_alcohol,12.601128840985327,13.0,-0.40623044094945265,6.2863025679624,11,0,0,4.26335951803431,0,4.107798243018973,17,0,3.1553113058498647,47,53.3876063286844,4.126667559213562,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
2023-01-02,2,2,no_tobacco_alcohol,9.572252979763135,18.9,-9.359099149943964,6.88372673152633,0,0,0,6.168424979008903,0,3.321051887626053,18,0,4.797043305912871,47,56.05999418143727,11.101249424266856,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1
2023-01-02,2,3,sleep_early,11.199126397498928,16.2,-5.413567927240547,8.287873828067626,0,44,1,5.364093577506439,2,2.9494584675768634,4,0,4.958579694484333,59,53.850109470765524,9.182835149241239,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
2023-01-02,2,4,walk_30,8.032649796871798,20.5,-12.261624911350516,6.369436788517608,36,0,0,5.784731367777134,0,4.923551642439115,0,0,2.5221046463827497,52,53.8955870784065,3.046027319409091,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
2023-01-02,2,5,social_15,8.1104087976146,21.9,-13.776913607731663,6.95273628747589,0,0,0,5.034614332692014,1,5.396879659813961,38,0,2.8974474377674078,84,71.95525775073597,11.433541185757655,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
2023-01-02,2,6,drink_water_8,7.719446719421053,21.7,-12.53030902715352,6.0779151059258805,0,60,0,5.850805396808662,3,5.097217863385728,9,0,4.52200922926508,81,53.19607307930889,9.881422990006879,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
2023-01-02,2,7,sleep_early,9.535129102981259,18.7,-6.949293172744272,8.379751389115059,0,0,0,5.552579475482824,1,3.145928739656766,20,0,5.02300947885147,28,57.48302757035144,4.649013609900145,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1
2023-01-02,2,8,drink_water_8,7.452564361846544,21.5,-10.269017055373087,5.585840554434242,0,0,0,5.972320371160434,0,4.829963541395159,14,0,4.39261320956416,49,51.92997688145748,3.1124892656769196,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2023-01-02,2,9,sleep_early,11.047868093551633,16.2,-4.659999483198014,7.473485457451353,0,0,0,3.1760291151140914,0,2.9056963896293255,1,0,2.2430999087450556,43,43.36947029430942,6.213726827749107,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1
2023-01-02,2,10,sleep_early,10.583569809757972,17.4,-6.4040598538750535,7.652964005043397,0,66,0,4.180596634327425,1,5.464140150046847,0,0,4.466306157317186,41,59.486141395909044,6.234356024117811,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1
