user_id,sleep_hours,activity_min,diet_fv_g,abstain,stress,water_glasses
0,6.5,10,150,0,5.0,4
1,6.5,10,150,0,5.0,4
2,6.5,10,150,0,5.0,4
3,6.5,10,150,0,5.0,4
4,6.5,10,150,0,5.0,4
5,6.5,10,150,0,5.0,4
6,6.5,10,150,0,5.0,4
7,6.5,10,150,0,5.0,4
8,6.5,10,150,0,5.0,4
9,6.5,10,150,0,5.0,4
10,6.5,10,150,0,5.0,4
11,6.5,10,150,0,5.0,4
12,6.5,10,150,0,5.0,4
13,6.5,10,150,0,5.0,4
14,6.5,10,150,0,5.0,4
15,6.5,10,150,0,5.0,4
16,6.5,10,150,0,5.0,4
17,6.5,10,150,0,5.0,4
18,6.5,10,150,0,5.0,4
19,6.5,10,150,0,5.0,4
20,6.5,10,150,0,5.0,4
21,6.5,10,150,0,5.0,4
22,6.5,10,150,0,5.0,4
23,6.5,10,150,0,5.0,4
24,6.5,10,150,0,5.0,4
25,6.5,10,150,0,5.0,4
26,6.5,10,150,0,5.0,4
27,6.5,10,150,0,5.0,4
28,6.5,10,150,0,5.0,4
29,6.5,10,150,0,5.0,4
30,6.5,10,150,0,5.0,4
31,6.5,10,150,0,5.0,4
32,6.5,10,150,0,5.0,4
33,6.5,10,150,0,5.0,4
34,6.5,10,150,0,5.0,4
35,6.5,10,150,0,5.0,4
36,6.5,10,150,0,5.0,4
37,6.5,10,150,0,5.0,4
38,6.5,10,150,0,5.0,4
39,6.5,10,150,0,5.0,4
40,6.5,10,150,0,5.0,4
41,6.5,10,150,0,5.0,4
42,6.5,10,150,0,5.0,4
43,6.5,10,150,0,5.0,4
44,6.5,10,150,0,5.0,4
45,6.5,10,150,0,5.0,4
46,6.5,10,150,0,5.0,4
47,6.5,10,150,0,5.0,4
48,6.5,10,150,0,5.0,4
49,6.5,10,150,0,5.0,4
