agent,user_id,reward_eff
Greedy,0,-2584.087489312685
Greedy,1,-2763.5449141568297
Greedy,2,-2929.520380468645
Greedy,3,-4372.8397416920425
Greedy,4,-1859.7185689494595
Greedy,5,-2260.298681133818
Greedy,6,-3056.107488541544
Greedy,7,-3789.3555049420615
Greedy,8,-4370.719453001309
Greedy,9,-2069.042022284063
Greedy,10,-1759.5838030978746
Greedy,11,-2142.0961734016337
Greedy,12,-4552.637396409705
Greedy,13,-200.0249450429533
Greedy,14,-2075.9769773903167
Greedy,15,-1529.672148169367
Greedy,16,-1787.8946959853936
Greedy,17,-1046.8598343785725
Greedy,18,-1041.4226495432229
Greedy,19,-2807.8876747208064
Greedy,20,-3024.3837376338574
Greedy,21,-540.6917439708774
Greedy,22,-505.01777048345207
Greedy,23,-3611.4198942032385
Greedy,24,-1124.0741594062513
HC,0,-2617.2338789740043
HC,1,-2781.7109290473386
HC,2,-2989.9290874901276
HC,3,-4440.956287449086
HC,4,-1958.3527725643066
HC,5,-2375.5352349426644
HC,6,-3035.907434826177
HC,7,-3813.328014314534
HC,8,-4453.130503413032
HC,9,-2237.7388358201756
HC,10,-2062.7062344295573
HC,11,-2229.3341043604605
HC,12,-4557.93178478053
HC,13,-503.59773820343247
HC,14,-2147.727786144815
HC,15,-1644.6914221616312
HC,16,-1826.5422390329902
HC,17,-1437.1682103498702
HC,18,-1220.9964756303589
HC,19,-3097.4932191217886
HC,20,-3072.552961514226
HC,21,-773.6502961170285
HC,22,-911.4371401659997
HC,23,-3657.9358286480324
HC,24,-1257.148455444692
Q,0,-2702.7045257684363
Q,1,-2832.930347243194
Q,2,-3051.623999001443
Q,3,-4418.183234919618
Q,4,-2131.8206510520727
Q,5,-2406.8005972006863
Q,6,-3041.647571606478
Q,7,-3797.82735543406
Q,8,-4423.081153655987
Q,9,-2231.07404482349
Q,10,-2157.9248667472343
Q,11,-2325.541060593554
Q,12,-4488.653430672721
Q,13,-682.8714477805939
Q,14,-2165.8255064995924
Q,15,-1802.7276085097365
Q,16,-1771.0126883894611
Q,17,-1447.1147468481195
Q,18,-1279.1131205603658
Q,19,-3241.21022140741
Q,20,-3080.817507904563
Q,21,-894.2338300009318
Q,22,-1190.6904700059395
Q,23,-3593.269875146631
Q,24,-1495.18062347269
SARSA,0,-2510.1133692226267
SARSA,1,-2819.0103996284406
SARSA,2,-2910.8152262626795
SARSA,3,-4381.299728630419
SARSA,4,-1864.6393462762724
SARSA,5,-2269.681227985514
SARSA,6,-2833.261323602237
SARSA,7,-3764.662799503528
SARSA,8,-4367.974055550854
SARSA,9,-2081.3145087568178
SARSA,10,-2052.5810858420928
SARSA,11,-2141.1505206092484
SARSA,12,-4430.787492152628
SARSA,13,-444.2975161755121
SARSA,14,-2136.745208135392
SARSA,15,-1606.8442812738767
SARSA,16,-1724.3907706075809
SARSA,17,-1247.613897654116
SARSA,18,-1134.803198741088
SARSA,19,-2801.0088159008906
SARSA,20,-2977.5067160512012
SARSA,21,-675.5890298848012
SARSA,22,-919.0813335259999
SARSA,23,-3523.4369614471016
SARSA,24,-1279.8621035214899
