day,user_id,agent,action,reward,penalty,reward_eff,observed_signal,comp_sleep,comp_activity,comp_diet,comp_habit,comp_water,dropped_out
0,0,Q,no_tobacco_alcohol,2.5069388969432946,17.0,-14.493061103056705,-15.147648241836468,0,0,0,0,0,0
0,1,Q,sleep_early,3.290094801947945,17.0,-13.709905198052056,-12.97746757155315,0,0,0,0,0,0
0,2,Q,no_tobacco_alcohol,6.322728357033048,12.0,-5.677271642966952,-6.1855838871035305,0,0,0,1,0,0
0,3,Q,meditate_10,3.324866990917891,17.0,-13.67513300908211,-10.509884701904364,0,0,0,0,0,0
0,4,Q,drink_water_8,3.237770636348352,17.0,-13.762229363651649,-14.734609943799429,0,0,0,0,0,0
0,5,Q,walk_30,3.1694746897416453,17.0,-13.830525310258356,-10.932766968600127,0,0,0,0,0,0
0,6,Q,eat_veg_400,3.3181519298504347,17.0,-13.681848070149565,-16.58623594922929,0,0,0,0,0,0
0,7,Q,eat_veg_400,3.2749172748340483,17.0,-13.72508272516595,-11.736478805370384,0,0,0,0,0,0
0,8,Q,walk_30,5.306466957076756,13.5,-8.193533042923244,-7.5448943417856364,0,1,0,0,0,0
0,9,Q,no_tobacco_alcohol,3.2574336387244336,17.0,-13.742566361275566,-13.158044020878705,1,0,0,0,0,0
0,10,Q,drink_water_8,3.25,17.0,-13.75,-11.719835053142045,1,0,0,0,0,0
0,11,Q,meditate_10,3.3361643821885285,17.0,-13.663835617811472,-15.089154643194545,0,0,0,0,0,0
0,12,Q,sleep_early,5.270386668783604,13.0,-7.729613331216396,-6.018447052450301,1,0,0,0,0,0
0,13,Q,sleep_early,5.833240202377482,13.0,-7.166759797622518,-7.119197036261096,1,0,0,0,0,0
0,14,Q,meditate_10,3.1407531773970785,17.0,-13.859246822602922,-11.953679799037753,0,0,0,0,0,0
0,15,Q,eat_veg_400,3.2083001259533876,17.0,-13.791699874046612,-9.764779682999803,0,0,0,0,0,0
0,16,Q,walk_30,3.2217638439534975,17.0,-13.778236156046503,-12.269285019045268,0,0,0,0,0,0
0,17,Q,drink_water_8,3.316192501943301,17.0,-13.683807498056698,-14.6768642564705,0,0,0,0,0,0
0,18,Q,sleep_early,3.1991002299774203,17.0,-13.80089977002258,-12.655550631167142,0,0,0,0,0,0
0,19,Q,no_tobacco_alcohol,2.4669208165143375,17.0,-14.533079183485663,-15.481808028803577,0,0,0,0,0,0
0,20,Q,eat_veg_400,5.215768601108131,14.0,-8.784231398891869,-8.455878749343372,0,0,0,0,0,0
0,21,Q,walk_30,5.302914861559455,13.5,-8.197085138440546,-7.518999251439253,0,1,0,0,0,0
0,22,Q,drink_water_8,3.25,17.0,-13.75,-16.49024826541585,0,0,0,0,0,0
0,23,Q,meditate_10,3.3405829653884713,17.0,-13.65941703461153,-10.296071859848958,0,0,0,0,0,0
0,24,Q,walk_30,3.2697862101404604,17.0,-13.73021378985954,-12.30114888079559,0,0,0,0,0,0
1,0,Q,sleep_early,5.785400841287471,13.0,-7.214599158712529,-6.489293972655107,1,0,0,0,0,0
1,1,Q,sleep_early,3.146310681603997,17.0,-13.853689318396004,-14.284838689367929,0,0,0,0,0,0
1,2,Q,no_tobacco_alcohol,3.398332103565073,17.0,-13.601667896434927,-14.548795076105723,0,0,0,0,0,0
1,3,Q,walk_30,5.589555241395569,13.0,-7.410444758604431,-7.284730856345173,1,0,0,0,0,0
1,4,Q,meditate_10,3.3792081654509425,17.0,-13.620791834549058,-10.877140317363882,0,0,0,0,0,0
1,5,Q,meditate_10,5.358884601066915,13.5,-8.141115398933085,-6.996403970899298,0,0,0,0,0,0
1,6,Q,drink_water_8,3.2018037783785753,17.0,-13.798196221621424,-12.673547534353451,0,0,0,0,0,0
1,7,Q,eat_veg_400,3.1070053426286064,17.0,-13.892994657371393,-15.006475810269437,0,0,0,0,0,0
1,8,Q,walk_30,3.15607638980541,17.0,-13.84392361019459,-16.303352373061273,1,0,0,0,0,0
1,9,Q,no_tobacco_alcohol,6.226397177016075,12.0,-5.773602822983925,-4.42604342886361,0,0,0,1,0,0
1,10,Q,sleep_early,5.299857511031977,13.0,-7.700142488968023,-8.545089792390598,1,0,0,0,0,0
1,11,Q,no_tobacco_alcohol,3.4349979623372326,17.0,-13.565002037662767,-10.100809816660943,0,0,0,0,0,0
1,12,Q,no_tobacco_alcohol,5.0513419439207725,13.0,-7.9486580560792275,-9.667767302929558,1,0,0,0,0,0
1,13,Q,meditate_10,5.644911596023878,13.0,-7.355088403976122,-5.967520575510225,0,0,0,0,0,0
1,14,Q,sleep_early,3.2729608876746927,17.0,-13.727039112325308,-15.114686992271123,0,0,0,0,0,0
1,15,Q,eat_veg_400,5.804003405762156,13.0,-7.195996594237844,-6.288395666931999,1,0,0,0,0,0
1,16,Q,sleep_early,5.87811903084351,13.0,-7.12188096915649,-8.523662081371349,1,0,0,0,0,0
1,17,Q,drink_water_8,3.4712926506272836,17.0,-13.528707349372716,-14.92655913071048,0,0,0,0,0,0
1,18,Q,walk_30,5.821405777614643,13.0,-7.178594222385357,-7.601279783468942,1,0,0,0,0,0
1,19,Q,meditate_10,3.02701175570745,17.0,-13.97298824429255,-12.49706944614325,0,0,0,0,0,0
1,20,Q,eat_veg_400,3.233742120822522,17.0,-13.766257879177477,-14.85715888635304,0,0,0,0,0,0
1,21,Q,eat_veg_400,5.369953948947874,13.5,-8.130046051052126,-8.05715876051964,0,0,0,0,0,0
1,22,Q,walk_30,3.2680541041807945,17.0,-13.731945895819205,-15.446435739998797,0,0,0,0,0,0
1,23,Q,no_tobacco_alcohol,3.210267401897446,17.0,-13.789732598102553,-15.674793118630166,0,0,0,0,0,0
1,24,Q,walk_30,5.228582471508125,13.5,-8.271417528491874,-8.25792011579955,0,0,0,0,0,0
2,0,Q,sleep_early,3.252401825319275,17.0,-13.747598174680725,-14.252171820733839,0,0,0,0,0,0
2,1,Q,drink_water_8,3.1745023861567354,17.0,-13.825497613843265,-16.93170006925057,0,0,0,0,0,0
2,2,Q,eat_veg_400,3.1963378611613744,17.0,-13.803662138838625,-13.787938521099056,0,0,0,0,0,0
2,3,Q,eat_veg_400,5.4855561740245875,13.0,-7.5144438259754125,-9.0670677721403,0,0,0,0,0,0
2,4,Q,meditate_10,3.52369994120914,17.0,-13.47630005879086,-14.271845550126564,0,0,0,0,0,0
2,5,Q,walk_30,5.607815210573093,13.5,-7.892184789426907,-8.690490669582543,0,1,0,0,0,0
2,6,Q,walk_30,5.078996736016313,13.5,-8.421003263983687,-8.673611760206821,0,0,0,0,0,0
2,7,Q,eat_veg_400,2.938226393229203,17.0,-14.061773606770796,-15.071138193178262,0,0,0,0,0,0
2,8,Q,no_tobacco_alcohol,2.2121732861971637,17.0,-14.787826713802836,-13.469122695262577,0,0,0,0,0,0
2,9,Q,eat_veg_400,6.303049111426912,12.0,-5.696950888573088,-5.34209707951237,0,0,0,1,0,0
2,10,Q,drink_water_8,5.8119034296317915,13.0,-7.1880965703682085,-6.512104879010813,1,0,0,0,0,0
2,11,Q,sleep_early,3.340844485848317,17.0,-13.659155514151683,-16.011038585908814,0,0,0,0,0,0
2,12,Q,meditate_10,3.078171198420761,17.0,-13.921828801579238,-12.172208810149188,0,0,0,0,0,0
2,13,Q,sleep_early,5.650051004325121,13.0,-7.349948995674879,-7.131221660825818,1,0,0,0,0,0
2,14,Q,eat_veg_400,3.484854186529689,17.0,-13.515145813470312,-13.212389157864822,0,0,0,0,0,0
2,15,Q,meditate_10,5.347526000856494,14.0,-8.652473999143506,-7.876436590101904,0,0,1,0,0,0
2,16,Q,drink_water_8,3.3989946874180763,17.0,-13.601005312581924,-13.957356289940712,0,0,0,0,0,0
2,17,Q,no_tobacco_alcohol,3.2829289148063037,17.0,-13.717071085193696,-17.27719161571096,0,0,0,0,0,0
2,18,Q,drink_water_8,7.843095857305828,9.5,-1.656904142694172,-1.5021501588615371,1,0,0,0,0,0
2,19,Q,walk_30,5.006195549729903,13.5,-8.493804450270098,-10.02626071939174,0,0,0,0,0,0
2,20,Q,sleep_early,2.9723179914779743,17.0,-14.027682008522026,-13.688283204633178,0,0,0,0,0,0
2,21,Q,drink_water_8,3.2206059075751554,17.0,-13.779394092424845,-13.424982597149272,0,0,0,0,0,0
2,22,Q,meditate_10,5.899876369613102,13.0,-7.100123630386898,-7.389037174910949,1,0,0,0,0,0
2,23,Q,walk_30,3.163607801317894,17.0,-13.836392198682105,-13.788899728843267,0,0,0,0,0,0
2,24,Q,no_tobacco_alcohol,8.036648077725808,8.5,-0.4633519222741924,-0.8186556033020163,0,1,0,1,0,0
3,0,Q,walk_30,5.20688296657346,13.5,-8.29311703342654,-9.888666431849668,0,0,0,0,0,0
3,1,Q,walk_30,3.076211948615302,17.0,-13.923788051384697,-14.211933393256498,0,0,0,0,0,0
3,2,Q,meditate_10,3.216082701211739,17.0,-13.78391729878826,-13.420906681988654,0,0,0,0,0,0
3,3,Q,no_tobacco_alcohol,4.507307102313124,13.0,-8.492692897686876,-9.08198235066572,0,0,0,0,0,0
3,4,Q,sleep_early,3.3939425892323056,17.0,-13.606057410767693,-16.19656455810486,0,0,0,0,0,0
3,5,Q,no_tobacco_alcohol,3.2035958328128293,17.0,-13.79640416718717,-15.923651924458902,0,0,0,0,0,0
