agent,week,mean,std,count
Greedy,1,-8.86665822530867,5.493723897574523,175
Greedy,2,-6.348885466573614,6.428814704964378,175
Greedy,3,-5.772463589536154,6.380265933677744,175
Greedy,4,-5.466161009617791,5.4767575814207845,175
Greedy,5,-5.922062257692583,6.165481528694367,175
Greedy,6,-4.6452408907834455,6.6467309028241734,175
Greedy,7,-4.65919454086063,6.938007811797612,175
Greedy,8,-4.920299353957512,6.81999018157121,175
Greedy,9,-4.134659974137581,6.83043992573062,175
Greedy,10,-4.610873614379407,6.00220794493747,175
Greedy,11,-5.210754219635636,6.000402642947155,175
Greedy,12,-4.630479081004163,6.530749694607613,175
Greedy,13,-5.442027170783266,6.742086681973847,175
Greedy,14,-5.7971534091690335,5.815251163497286,175
Greedy,15,-5.742378148635335,6.608077820076227,175
Greedy,16,-5.389710646276307,6.803069272101093,175
Greedy,17,-5.867504687339138,5.952319366716915,175
Greedy,18,-6.31835405867607,6.327570554313572,175
Greedy,19,-6.096246632468322,6.2272297511384345,175
Greedy,20,-6.108658523282844,5.656901360733996,175
Greedy,21,-6.735186035584333,5.241451407353483,175
Greedy,22,-7.726585432675695,5.611333217856936,175
Greedy,23,-6.890682519126801,5.334485887632106,175
Greedy,24,-7.428808971978787,5.3650920779691935,175
Greedy,25,-6.388877652355781,5.754787013381285,175
Greedy,26,-7.012027723678541,5.969522620039062,175
Greedy,27,-7.195108866998195,5.713006538101951,175
Greedy,28,-6.742284786942553,5.63835718926636,175
Greedy,29,-6.538643077644235,5.817780441944674,175
Greedy,30,-6.841596135352095,5.974079285559228,175
Greedy,31,-7.661139452590366,5.294981684265069,175
Greedy,32,-7.523193358993016,5.386046869959394,175
Greedy,33,-7.232165328623209,5.264229042867261,175
Greedy,34,-7.153393984920836,5.338403889863925,175
Greedy,35,-6.0128459931684395,5.538111137003173,175
Greedy,36,-6.136116945596508,5.366414428431646,175
Greedy,37,-6.163687971588699,5.5584083835970315,175
Greedy,38,-5.091425717082863,5.50052736630432,175
Greedy,39,-6.1309935018251185,5.609161731584173,175
Greedy,40,-5.753361242466694,5.198250853422158,175
Greedy,41,-6.794252798158234,5.409158864134086,175
Greedy,42,-7.333064025523063,5.57556336580162,175
Greedy,43,-6.796149600262613,5.036272820872608,175
Greedy,44,-7.329323050082121,5.240249126633443,175
Greedy,45,-6.767721018214461,5.223538709676354,175
Greedy,46,-7.166276166124795,4.448856911017443,175
Greedy,47,-7.906418330274395,5.465538598035152,175
Greedy,48,-7.4088459314593225,4.785426149684931,175
Greedy,49,-6.262432571205878,5.013917675023728,175
Greedy,50,-6.5612766133519935,5.104103225540086,175
Greedy,51,-6.632685804512808,4.668081301286408,175
Greedy,52,-6.176450839550053,5.564748810813026,175
Greedy,53,-6.095605296589187,6.560081270581527,25
HC,1,-9.489064779526451,5.514380398801287,175
HC,2,-6.4836716053252275,5.993719546679964,175
HC,3,-5.807621740277267,6.284157303623477,175
HC,4,-5.865865174334645,5.174861973569837,175
HC,5,-6.00745906763444,5.961978693605917,175
HC,6,-5.0888435001514,6.416865771639971,175
HC,7,-4.541768524575416,6.95715254305345,175
HC,8,-5.551970435928577,6.479408974802798,175
HC,9,-4.512967604026765,6.8308031633417094,175
HC,10,-4.715421506438682,5.869208142794798,175
HC,11,-5.660480445709568,5.9753416846548575,175
HC,12,-4.781190944094445,6.356805402923696,175
HC,13,-5.9226822708449784,6.254157519513472,175
HC,14,-5.688281169082155,5.914045950450268,175
HC,15,-6.28619156516923,6.372853103603242,175
HC,16,-5.730675725752708,6.598154836690339,175
HC,17,-6.141260714760011,5.753551348203816,175
HC,18,-6.379720601284628,5.825715906370538,175
HC,19,-6.761668048408232,5.897541690886801,175
HC,20,-6.308587706081596,5.707264201035052,175
HC,21,-7.008989032155081,5.196656807178973,175
HC,22,-7.8898861134675355,5.598365296671701,175
HC,23,-7.523562133744897,4.865416464367173,175
HC,24,-7.597854797579668,5.360393630593995,175
HC,25,-6.863011854064471,5.7048818374492924,175
HC,26,-7.558032663356682,5.948665531693239,175
HC,27,-7.576759041327017,5.496878393775823,175
HC,28,-7.358805037502663,5.17168921827792,175
HC,29,-6.551141162918296,5.61828396565169,175
HC,30,-6.940712351999968,5.729353201980376,175
HC,31,-7.878009689671766,5.3768764134962295,175
HC,32,-7.966638474959969,5.40128417038633,175
HC,33,-7.554181936277426,5.0886806265727484,175
HC,34,-7.43224374391947,5.23886542518893,175
HC,35,-6.511371940114369,5.749647938977935,175
HC,36,-6.405177837757254,5.153282204762889,175
HC,37,-6.629936455506013,5.558985626039575,175
HC,38,-5.842976460991989,5.395340256149078,175
HC,39,-6.4677195757447254,5.448321513514164,175
HC,40,-6.385432247132147,5.0072761920451745,175
HC,41,-7.276287056407466,5.064970170180669,175
HC,42,-7.600758086985067,5.585549577139713,175
HC,43,-7.150087106685335,4.831387255979642,175
HC,44,-7.459812822488717,4.822877332542185,175
HC,45,-7.38459098667508,4.927031851816792,175
HC,46,-7.488546594149689,4.726156557000496,175
HC,47,-8.519742849229008,4.823980972892186,175
HC,48,-7.950149394853634,4.638897140285064,175
HC,49,-7.054292621045693,4.879845493452371,175
HC,50,-7.259821427406306,4.981035547454029,175
HC,51,-6.732262269877829,4.711332897566605,175
HC,52,-6.646550279484788,5.470956155881719,175
HC,53,-6.854314773669236,5.81111738955733,25
Q,1,-10.293399304445503,4.843070561212683,175
Q,2,-6.719160576686993,5.952809945302009,175
Q,3,-6.217211501695377,6.0582239997711,175
Q,4,-5.564017158332554,4.984170843041519,175
Q,5,-6.059062572113874,6.2412357544155945,175
Q,6,-4.842474879443755,6.292276793709688,175
Q,7,-4.723252498355329,6.963911461355283,175
Q,8,-5.429655222495565,6.133766822015464,175
Q,9,-3.7363640443014896,6.665891018970199,175
