agent,user_id,reward_eff
Greedy,0,-3585.703781470069
Greedy,1,-2962.2239217258966
Greedy,2,-1971.2979314269683
Greedy,3,-3659.3895199343106
Greedy,4,-2856.638735531315
Greedy,5,-1476.2362441198534
Greedy,6,-13.03020794167402
Greedy,7,-2407.110238983843
Greedy,8,-1487.9744698426553
Greedy,9,-2024.2018695157562
Greedy,10,-3362.8878188986437
Greedy,11,243.90947480795526
Greedy,12,579.8705974497526
Greedy,13,-2146.2402663661233
Greedy,14,-2485.69909329576
Greedy,15,-2897.729550382856
Greedy,16,-3024.8016269153154
Greedy,17,-1045.292668741784
Greedy,18,-2145.9047470944106
Greedy,19,-1045.1510994430955
Greedy,20,-1989.3200436387995
Greedy,21,-1194.7652488862734
Greedy,22,-997.7936082377406
Greedy,23,-1537.573273530755
Greedy,24,-95.69975927679094
HC,0,-3629.452538470508
HC,1,-2953.8778448414823
HC,2,-2154.482190303806
HC,3,-3675.2060898798127
HC,4,-2834.428450568032
HC,5,-1827.0317251842148
HC,6,-380.9593300571741
HC,7,-2517.3786230232804
HC,8,-1587.5601549532732
HC,9,-1991.8658496188405
HC,10,-3424.748509863195
HC,11,-62.08232297833573
HC,12,202.32009576133865
HC,13,-2244.2614108267603
HC,14,-2536.8252034100838
HC,15,-2887.041590641822
HC,16,-3036.760695385055
HC,17,-1176.484976835973
HC,18,-2212.175862857735
HC,19,-1197.704908705381
HC,20,-2097.9285703861888
HC,21,-1417.181423238087
HC,22,-1258.261497466517
HC,23,-1653.9127793229006
HC,24,-311.58408056046795
Q,0,-3601.0520403596533
Q,1,-2876.4429735521335
Q,2,-1999.9538113490446
Q,3,-3693.9026518802934
Q,4,-2889.062887208106
Q,5,-1761.2961607010868
Q,6,-543.5935494390155
Q,7,-2637.6464522425554
Q,8,-1445.529646880435
Q,9,-2055.5122031300393
Q,10,-3381.9961059957523
Q,11,-235.99939493559432
Q,12,31.355274464141537
Q,13,-2228.4719801104884
Q,14,-2469.5182311361405
Q,15,-2802.173096143614
Q,16,-3007.194564755277
Q,17,-1108.1550462630996
Q,18,-2121.355520750948
Q,19,-1180.7032366016022
Q,20,-2056.0907290372943
Q,21,-1393.0505478173338
Q,22,-1119.3908084277095
Q,23,-1624.812573884221
Q,24,-330.7648794651436
