agent,week,mean,std,count
Greedy,1,-7.272910079134896,5.438440471111553,175
Greedy,2,-4.890770970656694,5.736384840389511,175
Greedy,3,-4.920216869855332,5.976824284661356,175
Greedy,4,-3.6198140293283743,5.6710180718989855,175
Greedy,5,-4.410141919808608,4.4550049353876116,175
Greedy,6,-3.9025709642292066,5.936073262953616,175
Greedy,7,-3.758801998684606,5.029255202205893,175
Greedy,8,-4.525599499085065,5.167645357335563,175
Greedy,9,-4.997119232436629,5.4482344094160835,175
Greedy,10,-5.22463156686944,6.350845138366485,175
Greedy,11,-5.877291509400458,6.575439595688219,175
Greedy,12,-6.19432645999682,5.214681260328645,175
Greedy,13,-5.325544228588756,4.602039597652089,175
Greedy,14,-5.332976115914839,5.009370042796296,175
Greedy,15,-5.837873742319868,5.087110051614861,175
Greedy,16,-6.743866267029055,5.346083908297882,175
Greedy,17,-6.634896800082398,5.743967516826482,175
Greedy,18,-6.244661971517029,5.457528869865826,175
Greedy,19,-5.365707479504789,5.675153463950286,175
Greedy,20,-5.40112811024803,6.111187506361065,175
Greedy,21,-6.345995676808851,5.920565069006332,175
Greedy,22,-6.22273153515349,5.783491811650917,175
Greedy,23,-6.050373754627621,4.9562000416393515,175
Greedy,24,-5.359156787866178,5.558660489397331,175
Greedy,25,-5.8179952641518415,5.628035220773595,175
Greedy,26,-5.136392259307925,6.232451061994795,175
Greedy,27,-5.306283789996698,5.921860153697554,175
Greedy,28,-4.758924871688547,6.9537645445880685,175
Greedy,29,-4.800229497338379,5.7110567557225975,175
Greedy,30,-4.6980700825799335,6.1870785527841985,175
Greedy,31,-5.93242685506142,6.272179133005597,175
Greedy,32,-5.597499317515313,5.968560008771615,175
Greedy,33,-5.524674884030367,6.856122151589119,175
Greedy,34,-4.693537493514597,5.431426104039844,175
Greedy,35,-3.768452156385582,5.451441831194803,175
Greedy,36,-3.1230675975889874,6.104181421610151,175
Greedy,37,-3.63887485338253,5.555028060343462,175
Greedy,38,-4.460148728440392,5.856896516919712,175
Greedy,39,-5.3060127402153245,6.006049572573068,175
Greedy,40,-5.562001919149867,5.759059780129428,175
Greedy,41,-4.9145206463520905,6.018562813705694,175
Greedy,42,-5.0570226579205055,6.197328317628533,175
Greedy,43,-4.402881231164132,6.742650098017255,175
Greedy,44,-4.923382210542889,6.680673154900364,175
Greedy,45,-5.136682533767221,6.063032525454368,175
Greedy,46,-5.109407447524879,5.197965587780588,175
Greedy,47,-5.479157736598747,4.97697052685877,175
Greedy,48,-4.803176207763273,4.626139657134736,175
Greedy,49,-4.393393376805273,5.030726146684796,175
Greedy,50,-5.355734872835584,5.8897859808122695,175
Greedy,51,-4.890742026510732,5.743763591901764,175
Greedy,52,-4.8351243189447795,6.34559732428823,175
Greedy,53,-4.187079852267896,7.1935624971581715,25
HC,1,-7.812953458662616,5.331973035074773,175
HC,2,-5.576343796108841,5.888617013217506,175
HC,3,-6.036789264884574,5.780586270963922,175
HC,4,-4.107861152715449,5.360548435572315,175
HC,5,-4.771628433744011,4.661807618417977,175
HC,6,-4.614427329581684,5.534609237409248,175
HC,7,-4.172425398197247,4.995791493835195,175
HC,8,-5.315270873328848,5.140569858252315,175
HC,9,-5.24531447864837,5.256256686335892,175
HC,10,-5.321227282804914,6.259747234738784,175
HC,11,-6.407677150806522,5.9929170533787275,175
HC,12,-6.347294065796753,5.106009840715979,175
HC,13,-5.606565273428542,4.738328991441037,175
HC,14,-5.151355337097828,4.723102427931084,175
HC,15,-5.820101943176105,4.960942439624295,175
HC,16,-7.351739427851467,5.306749369254101,175
HC,17,-6.782751977513306,5.335516030624531,175
HC,18,-6.321326247832865,5.225518788622529,175
HC,19,-5.402302817166654,5.466598120853733,175
HC,20,-5.463549913891657,5.9411644770458185,175
HC,21,-6.638899981224866,5.501949507279108,175
HC,22,-6.4884914992223806,5.208562238850405,175
HC,23,-6.657416838198105,5.1515673589693245,175
HC,24,-6.208230970501241,5.484221418671278,175
HC,25,-6.17560781918986,5.576715812668996,175
HC,26,-5.5407093752685395,5.957055868455896,175
HC,27,-5.628407682317981,6.163558980321005,175
HC,28,-4.891492893082818,6.523196048504794,175
HC,29,-4.811965215680252,5.720652220542396,175
HC,30,-5.075039728311562,5.650918735910592,175
HC,31,-6.394840745020729,6.057621596739879,175
HC,32,-6.124385030758327,6.072905603845337,175
HC,33,-6.153732476098403,6.282326368708525,175
HC,34,-5.027277599427444,5.708354028361197,175
HC,35,-3.8741096180414822,5.707530949649509,175
HC,36,-3.5851437278159004,5.666483858126263,175
HC,37,-3.6691263475933362,5.613156748745509,175
HC,38,-5.189305300928297,5.550619858352157,175
HC,39,-5.500348874919723,5.916755537208183,175
HC,40,-5.910290767582597,5.24819588368148,175
HC,41,-5.218979214802867,5.688628758002973,175
HC,42,-5.560424753091389,5.622238091581391,175
HC,43,-4.996261969623586,6.618908294961788,175
HC,44,-5.207785931885981,6.752215474921517,175
HC,45,-5.494491988178563,5.8485092227759825,175
HC,46,-5.228896181426043,5.09600888902765,175
HC,47,-5.360229696275807,4.766834357292866,175
HC,48,-5.295396668563209,4.395235900984418,175
HC,49,-4.804156642715061,4.65803499327145,175
HC,50,-5.863262327416347,5.792930835310069,175
HC,51,-5.141120298339401,5.44089190532028,175
HC,52,-5.139916095994929,6.1264827369531565,175
HC,53,-4.725966066587147,6.804098298239389,25
Q,1,-8.540752004526471,5.218525816997544,175
Q,2,-5.7564925364349415,5.964442052230438,175
Q,3,-4.990566654064956,5.871902559193148,175
Q,4,-3.8831929715125026,5.2403474674158055,175
Q,5,-4.877406028934379,4.59692905923328,175
Q,6,-3.7177349232561365,5.67384260504853,175
Q,7,-4.066926331512126,5.151735472769419,175
Q,8,-5.325034480776258,5.063912894145705,175
Q,9,-5.160995098547021,5.663559353899439,175
Q,10,-5.243927351598365,6.471416827555476,175
Q,11,-6.289476902745155,6.554056533279179,175
Q,12,-6.596120347529251,4.903894353782081,175
Q,13,-5.497625724554916,4.369054102758452,175
Q,14,-4.967561711391803,5.183204032234355,175
Q,15,-6.188180716011332,5.052672424230152,175
Q,16,-6.891561906051948,5.453081571776009,175
Q,17,-6.957736702509928,5.357627165106286,175
Q,18,-6.4183962771680525,5.095713969299149,175
Q,19,-5.263650925775698,5.5220147571901474,175
Q,20,-5.067232355792337,5.944982114210664,175
Q,21,-6.438778619892659,5.78223269126866,175
Q,22,-6.5743039008789514,5.520068128567413,175
Q,23,-6.259738643309254,5.289188635985913,175
Q,24,-5.835125147284657,5.2882914918685415,175
Q,25,-5.7726274413065655,5.726552716740262,175
Q,26,-5.536753986783556,6.215822015723255,175
Q,27,-5.383359824528498,6.207774210412464,175
Q,28,-4.678869932099215,6.511690658204656,175
Q,29,-4.784868111981963,5.546543337288539,175
Q,30,-5.009535281443559,5.620523538839909,175
Q,31,-6.248523381553097,6.00152183028095,175
Q,32,-6.218393513185873,6.061587671155853,175
Q,33,-5.40433957021333,6.017640193872169,175
Q,34,-4.615558712209498,5.430886559103396,175
Q,35,-3.560359934086259,5.987766275680661,175
Q,36,-3.1441073196477154,5.885520729472978,175
Q,37,-3.5981500466508183,5.830813553767384,175
Q,38,-4.482576434780916,5.7038444287592425,175
Q,39,-4.8509352271004955,5.609580385034175,175
Q,40,-5.600305897492288,5.226406026543738,175
Q,41,-5.0137637809005895,5.699364611298216,175
Q,42,-5.265829891365854,5.827218885009351,175
Q,43,-4.360024263558942,6.575382224287745,175
Q,44,-5.361416986712594,6.565170616049859,175
Q,45,-5.53695991702313,5.375625442954942,175
Q,46,-5.005914859294475,5.1283141302678406,175
Q,47,-5.623464538845042,4.351172671220462,175
Q,48,-5.048451023694486,4.450451212557994,175
Q,49,-4.606446788772857,5.018206162544486,175
Q,50,-5.373200475896821,5.74397069574788,175
Q,51,-4.593910343116233,5.139116774308687,175
Q,52,-4.520836578120582,6.156860383391348,175
Q,53,-5.252422265860201,7.179736860151832,25
SARSA,1,-8.161431026339239,4.882116471201179,175
SARSA,2,-5.63106363139752,5.441382381853978,175
SARSA,3,-5.249738536521899,5.9374246556797345,175
SARSA,4,-4.203073099011296,5.246107627601324,175
SARSA,5,-4.58307469669273,4.731683867166168,175
SARSA,6,-4.881714009754172,5.786068500017505,175
SARSA,7,-3.88657164558583,5.342192799923164,175
SARSA,8,-5.288643966642817,5.213640162418343,175
SARSA,9,-5.672743099567634,5.053349235114454,175
SARSA,10,-5.259389915337704,6.168509693175738,175
SARSA,11,-6.296159366753488,6.352417717134526,175
SARSA,12,-5.997290359375329,5.06524266817834,175
SARSA,13,-5.657228731203627,4.832842762109872,175
SARSA,14,-5.396145558687968,4.975280988716477,175
SARSA,15,-5.997265857687448,4.961480124953516,175
SARSA,16,-7.109348629817666,5.274869962283865,175
SARSA,17,-6.759626658349325,5.012687987621569,175
SARSA,18,-6.161964200412041,4.9973077780613036,175
SARSA,19,-5.343091588274441,5.407268622229196,175
SARSA,20,-5.734119982292456,5.473331197303002,175
SARSA,21,-6.680395721834078,6.050257964252718,175
SARSA,22,-6.560411253696191,5.2638112821685805,175
SARSA,23,-6.308734175489027,4.65898353153282,175
SARSA,24,-5.628760872376196,4.784951744275185,175
SARSA,25,-5.725872285885737,5.639240226216214,175
SARSA,26,-5.429396380645149,6.107318581202173,175
SARSA,27,-5.781361650876568,5.938104725108488,175
SARSA,28,-4.812405000151909,6.710924172504255,175
SARSA,29,-4.546074664487718,5.661645502946331,175
SARSA,30,-4.8629037359858485,5.396951301966324,175
